Event Name,Date,Venue,Address,Latitude,Longitude,Segment,Genre,SubGenre,event_score
Bangerz Only: 2010s Dance Party at Sneaky Dee’s - Oct 11 2025,2025-10-11,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Pop,Dance,5.1
Sabio w/ Lulu Lamontagne & Chaos Euphonic,2025-10-10,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Alternative,Alternative,4.8
Hotel Mira with Bleeker & Altered By Mom,2025-10-19,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Alternative,Alternative,4.8
"And Always w/ Apple of Basilisk, Bitter Spirit & Us Alike",2025-10-11,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Alternative,Alternative,4.8
"Pure Bliss w/ Die Alone, Just Right, Slewfoot & Heat",2025-10-10,Hard Luck Bar,772a Dundas Street West,43.65215,-79.407552,Music,Alternative,Alternative,4.8
The Jins with Special Guests,2025-10-17,Hard Luck Bar,772a Dundas Street West,43.65215,-79.407552,Music,Alternative,Alternative,4.8
"The Ceremony w/ Benched, Try This At Home & Club Cadetta",2025-10-17,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Alternative,Alternative,4.8
Rachel Bobbitt,2025-10-17,Monarch Tavern,12 Clinton Street,43.65403,-79.41368,Music,Alternative,Alternative,4.8
The Morays w/ Viperchurch & Bank Heist,2025-10-18,Sneaky Dee's Concert Venue,"431 College Street, 2nd Floor",43.656413,-79.407486,Music,Alternative,Alternative,4.8
Uncle Strut with The Vaniers & Vox Rea,2025-10-18,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Alternative,Alternative,4.8
Rio Romeo,2025-10-14,The Garrison,1197 Dundas Street West,43.64913,-79.42235,Music,Alternative,Alternative,4.8
Foil Arms & Hog: Skittish,2025-10-15,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Arts & Theatre,Comedy,Comedy,4.33
Accent On Toronto,2025-10-16,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Arts & Theatre,Comedy,Comedy,4.33
Aminé - Tour de Dance 2025 with Sango,2025-10-10,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Hip-Hop/Rap,French Rap,4.0
Richy Mitch & The Coal Miners - Colorado's on Fire Again,2025-10-15,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Folk,Indie Folk,4.0
DOECHII - Live from the Swamp Tour,2025-10-17,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,Hip-Hop/Rap,French Rap,4.0
Kneecap,2025-10-14,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Hip-Hop/Rap,French Rap,4.0
Kneecap,2025-10-15,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Hip-Hop/Rap,French Rap,4.0
Alireza Ghorbani - Iranam World Tour,2025-10-12,Coca-Cola Coliseum,45 Manitoba Drive,43.6350968,-79.4157243,Music,World,World,4.0
Jesse Welles,2025-10-18,The Danforth Music Hall,147 Danforth Ave.,43.6764492,-79.3571014,Music,Folk,Indie Folk,4.0
Aminé - Tour de Dance 2025 with Sango,2025-10-11,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Hip-Hop/Rap,French Rap,4.0
THE MUSIC OF HANS ZIMMER & OTHERS - A CELEBRATION OF FILM MUSIC,2025-10-19,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Music,Other,Other,4.0
Freddie Gibbs - Alfredo: The Tour,2025-10-19,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Hip-Hop/Rap,French Rap,4.0
Yung Lean,2025-10-20,History,1663 Queen St. East,43.66684147,-79.31351149,Music,Hip-Hop/Rap,French Rap,4.0
Damn Good Comedy Show,2025-10-17,The Circus Academy West,"213 Sterling Road, Unit 100",43.655505,-79.445245,Arts & Theatre,Comedy,Comedy,3.9
Dublon,2025-10-10,Longboat Hall,1087 Queen Street West (Basement Of Great Hall),43.64335,-79.42202,Music,Dance/Electronic,Witchstep,3.6
ATLIENS,2025-10-11,REBEL,11 Polson Street,43.640897,-79.354593,Music,Dance/Electronic,Trap,3.6
JAZZY,2025-10-11,DPRTMNT,473 Adelaide St W,43.64647,-79.39689,Music,Dance/Electronic,Dance Pop,3.6
NorthSideBenji,2025-10-11,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Hip-Hop/Rap,Hip-Hop/Rap,3.6
Sacrifice,2025-10-11,The Concert Hall,The Masonic Temple,43.67308,-79.38842,Music,Metal,Thrash & Speed,3.6
"LANDMVRKS ""NORTH AMERICA HEADLINE 2025"" TOUR",2025-10-12,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Metal,Nu-Metal,3.6
PhaseOne,2025-10-18,NOIR (inside REBEL),11 Polson Street,43.640897,-79.354593,Music,Dance/Electronic,Dubstep,3.6
Weakened Friends,2025-10-18,The Sound Garage,165 Geary Ave,43.669849,-79.436218,Music,Alternative,Alternative Rock,3.6
Mickey Factz with Guests - Toronto,2025-10-18,Hard Luck Bar,772a Dundas Street West,43.65215,-79.407552,Music,Hip-Hop/Rap,Urban,3.6
Mister - the Wild Days Tour,2025-10-19,REBEL,11 Polson St.,43.6415548,-79.3540246,Music,Dance/Electronic,Witchstep,3.6
Lea Salonga,2025-10-18,The Theatre at Great Canadian Casino Resort Toronto,1133 Queens Plate Dr,43.712525,-79.602042,Music,Classical,Classical/Vocal,3.6
TOPS | Bury the Key Tour w/ Starcleaner Reunion & Amery,2025-10-17,The Phoenix Concert Theatre,410 Sherbourne Street,43.66473,-79.3742,Music,Alternative,Alternative Rock,3.6
"Into the Light: Prokofiev, Beethoven, R. Strauss",2025-10-18,Meridian Arts Centre: George Weston,5040 Yonge Street,43.7661379,-79.4142505,Music,Classical,Classical/Vocal,3.6
Pretty Pink,2025-10-17,CODA,794 Bathurst Street,43.665374,-79.41154,Music,Dance/Electronic,Techno,3.6
Bambara,2025-10-17,The Dance Cave,529 Bloor Street West,43.665244,-79.409452,Music,Alternative,Post-Punk,3.6
Pokey LaFarge,2025-10-17,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Blues,Folk-Blues,3.6
Pachyman & MNDSGN,2025-10-15,Longboat Hall,"103 Dovercourt Rd, (Basement Of Great Hall)",43.643,-79.42216,Music,Reggae,Dub,3.6
MC4D,2025-10-17,The Mod Club (formerly known as The Axis Club),722 College St.,43.6551655,-79.4190636,Music,Dance/Electronic,Witchstep,3.6
Tee Grizzley - Forever My Moment Tour,2025-10-19,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Hip-Hop/Rap,French Rap,3.6
SOFIA ISELLA,2025-10-19,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,World,World,3.6
Night Tapes - portals//polarities World Tour w/ Cult of Venus,2025-10-16,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Alternative,Indie Pop,3.6
Joan Shelley,2025-10-16,Monarch Tavern,12 Clinton Street,43.65403,-79.41368,Music,Alternative,Americana,3.6
Current Swell with The Bankes Brothers,2025-10-15,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Folk,Alternative Folk,3.6
Miki Berenyi Trio North American Tour 2025,2025-10-15,The Great Hall,1087 Queen Street W.,43.64336,-79.42206,Music,Other,Unknown,3.6
MOCKTALES TORONTO EDITION,2025-10-19,The Starlight Room at The El Mocambo,464 Spadina Avenue,43.6575661,-79.4001349,Music,Religious,Gospel,3.6
Thantifaxath,2025-10-19,The Baby G,1608 Dundas St West,43.650019,-79.435404,Music,Metal,Metal,3.6
Peel Dream Magazine,2025-10-19,The Sound Garage,165 Geary Ave,43.669849,-79.436218,Music,Alternative,Indie Pop,3.6
MASTER PEACE - No More Underground: North America Tour,2025-10-19,Drake Underground,1150 Queen St. West,43.64329,-79.42463,Music,Hip-Hop/Rap,Alternative Rap,3.6
"Revocation, Judiciary, Inferi, Vomit Forth",2025-10-20,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Metal,Thrash & Speed,3.6
Joey Bada$$ - 19+ Mezzanine,2025-10-20,Rebel - ON,11 Polson St,0.0,0.0,Music,Other,Other,3.6
JOEY BADA$$ - DARK AURA TOUR,2025-10-20,REBEL,11 Polson Street,43.640897,-79.354593,Music,Hip-Hop/Rap,Hip-Hop/Rap,3.6
Quadeca,2025-10-15,The Opera House,735 Queen St. E.,43.6590002,-79.3487743,Music,Hip-Hop/Rap,French Rap,3.6
Model/Actriz with Kassie Krut,2025-10-14,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Alternative,Noise Pop,3.6
WILKINSON - NORTH AMERICA TOUR,2025-10-12,DPRTMNT,473 Adelaide St W,43.64647,-79.39689,Music,Dance/Electronic,Drum 'N' Bass,3.6
Glitterbox - Horse Meat Disco,2025-10-12,131 McCormack Street,131 McCormack Street,43.67529,-79.47832,Music,Dance/Electronic,Unknown,3.6
Mira,2025-10-10,Ozmozis,10 Wellspring Lane,43.664765,-79.381871,Music,Dance/Electronic,House,3.6
Dr Feelgood - Motley Crue Tribute,2025-10-10,The Rockpile Bar & Nightclub,5555A Dundas St. West,43.62942,-79.548931,Music,Metal,Metal,3.6
GORGON CITY,2025-10-10,REBEL,11 Polson Street,43.640897,-79.354593,Music,Dance/Electronic,House,3.6
NorthSideBenji - Presented By F7 Live & Nightshift Entertainment,2025-10-10,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Hip-Hop/Rap,Hip-Hop/Rap,3.6
Kumo 99 - Fall Tour 2025,2025-10-12,The Drake Hotel,1150 Queen Street West,43.6431078,-79.4246457,Music,Dance/Electronic,Witchstep,3.6
TWINSICK,2025-10-10,DPRTMNT,473 Adelaide St W,43.64647,-79.39689,Music,Dance/Electronic,Unknown,3.6
Township Rebellion at Secret Location TBA,2025-10-10,Venue TBA (Toronto),Announcement of venue made closer to event date,43.65189,-79.381706,Music,Dance/Electronic,Techno,3.6
Swimming Paul,2025-10-10,CODA,794 Bathurst Street,43.665374,-79.41154,Music,Dance/Electronic,Dance/Electronic,3.6
MAD PROFESSOR - 'No Protection' Remix Album's 30th Anniversary w/ Odario,2025-10-10,Lee's Palace,529 Bloor Street West,43.665249,-79.409447,Music,Reggae,Dub,3.6
AR Rahman: Up Close and Personal,2025-10-10,The Theatre at Great Canadian Casino Resort Toronto,1133 Queens Plate Dr,43.712525,-79.602042,Music,World,World,3.6
OBSKÜR,2025-10-11,CODA,794 Bathurst Street,43.665374,-79.41154,Music,Dance/Electronic,Dance/Electronic,3.6
Bo Staloch,2025-10-11,Drake Underground,1150 Queen St. West,43.64329,-79.42463,Music,Folk,Folk,3.6
Hannaford Street Silver Band: On the Slide,2025-10-12,Jane Mallett Theatre,27 Front Street East,43.6470384,-79.3754585,Music,Other,Other,3.6
Ryan Harris,2025-10-11,Velvet Underground,508 Queen St. W.,43.6477172,-79.4014822,Music,Folk,Indie Folk,3.6
Acid Bath with Voivod,2025-10-11,REBEL,11 Polson St.,43.6415548,-79.3540246,Music,Metal,Nu-Metal,3.6
Stardew Valley: Symphony Of Seasons,2025-10-14,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Arts & Theatre,Classical,Symphonic,3.33
The Thorn,2025-10-10,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Arts & Theatre,Performance Art,Performance Art,3.33
The Thorn,2025-10-11,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Arts & Theatre,Performance Art,Performance Art,3.33
Hocus Pocus in Concert,2025-10-18,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Film,Comedy,Comedy,3.0
Legends of Horror,2025-10-10,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Legends of Horror,2025-10-18,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Legends of Horror - Family Hours,2025-10-11,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Legends of Horror - Family Hours,2025-10-18,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Legends of Horror,2025-10-11,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Rogers Centre Tour,2025-10-11,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Beethoven's Fifth,2025-10-11,Meridian Arts Centre: George Weston,5040 Yonge Street,43.7661379,-79.4142505,Arts & Theatre,Classical,Symphonic,3.0
Legends of Horror,2025-10-12,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Beethoven's Fifth,2025-10-12,Meridian Arts Centre: George Weston,5040 Yonge Street,43.7661379,-79.4142505,Arts & Theatre,Classical,Symphonic,3.0
2025 ALCS Home Game 1 Suites,2025-10-12,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Legends of Horror - Family Hours,2025-10-12,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Rogers Centre Tour,2025-10-13,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Rogers Centre Tour,2025-10-12,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
ALCS Pre Game Tour - Game 1,2025-10-12,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Les Ballets Trockadero De Monte Carlo,2025-10-18,The Elgin & Winter Garden Theatres,189 Yonge St.,43.6529194,-79.3794517,Arts & Theatre,Dance,Dance,3.0
Rogers Centre Tour,2025-10-14,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Legends of Horror,2025-10-15,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Opera Atelier presents The Magic Flute,2025-10-15,The Elgin & Winter Garden Theatres,189 Yonge St.,43.6529194,-79.3794517,Arts & Theatre,Opera,Opera,3.0
Rogers Centre Tour,2025-10-15,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
2025 ALCS Home Game 4 Suites,2025-10-15,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Rogers Centre Tour,2025-10-16,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
2025 ALCS Home Game 3 Suites,2025-10-14,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
ALCS Pre Game Tour - Game 3,2025-10-14,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
ALCS Pre Game Tour - Game 2,2025-10-13,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
2025 ALCS Home Game 2 Suites,2025-10-13,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Rogers Centre Tour,2025-10-19,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Legends of Horror - Family Hours,2025-10-20,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Legends of Horror,2025-10-17,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Hocus Pocus in Concert,2025-10-17,Meridian Hall,1 Front Street East,43.6468182,-79.3766657,Film,Comedy,Comedy,3.0
Legends of Horror,2025-10-20,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
ALCS Pre Game Tour - Game 4,2025-10-15,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Rogers Centre Tour,2025-10-20,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
Legends of Horror,2025-10-16,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Opera Atelier presents The Magic Flute,2025-10-16,The Elgin & Winter Garden Theatres,189 Yonge St.,43.6529194,-79.3794517,Arts & Theatre,Opera,Opera,3.0
Legends of Horror,2025-10-19,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Legends of Horror - Family Hours,2025-10-17,Casa Loma,1 Austin Terrace,43.6781377,-79.409615,Arts & Theatre,Miscellaneous Theatre,Miscellaneous Theatre,3.0
Opera Atelier presents The Magic Flute,2025-10-19,The Elgin & Winter Garden Theatres,189 Yonge St.,43.6529194,-79.3794517,Arts & Theatre,Opera,Opera,3.0
Les Ballets Trockadero De Monte Carlo,2025-10-19,The Elgin & Winter Garden Theatres,189 Yonge St.,43.6529194,-79.3794517,Arts & Theatre,Dance,Dance,3.0
Rogers Centre Tour,2025-10-10,Rogers Centre,1 Blue Jays Way,43.641642,-79.390043,Unknown,Unknown,Unknown,3.0
